id,causa_acidente,classificacao_acidente,tipo_pista,tracado_via,fase_dia,condicao_metereologica,tipo_acidente,uso_solo,mortos,feridos_graves,feridos_leves,cluster
631725,Iluminação deficiente,Com Vítimas Fatais,Simples,Aclive,Plena Noite,Céu Claro,Atropelamento de Animal,Não  ,1,0,0,0
632173,Iluminação deficiente,Com Vítimas Feridas,Simples,Reta;Declive,Plena Noite,Céu Claro,Saída de leito carroçável,Não  ,0,0,2,0
632203,Ausência de sinalização,Sem Vítimas,Dupla,Reta,Pleno dia,Céu Claro,Colisão lateral mesmo sentido,Sim  ,0,0,0,1
632520,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Feridas,Dupla,Interseção de Vias;Retorno Regulamentado,Pleno dia,Céu Claro,Queda de ocupante de veículo,Sim  ,0,2,0,1
632993,Curva acentuada,Com Vítimas Feridas,Simples,Curva,Pleno dia,Céu Claro,Tombamento,Não  ,0,0,2,0
633322,Demais falhas na via,Com Vítimas Feridas,Múltipla,Reta;Declive,Anoitecer,Céu Claro,Colisão traseira,Não  ,0,0,4,0
633600,Pista Escorregadia,Com Vítimas Feridas,Dupla,Reta,Amanhecer,Chuva,Colisão com objeto,Não  ,0,0,2,2
633606,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Feridas,Dupla,Reta,Pleno dia,Céu Claro,Saída de leito carroçável,Sim  ,0,0,1,2
633689,Acumulo de água sobre o pavimento,Com Vítimas Feridas,Dupla,Reta;Viaduto,Pleno dia,Garoa/Chuvisco,Colisão traseira,Sim  ,0,0,10,1
634258,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Feridas,Simples,Reta,Plena Noite,Nublado,Colisão transversal,Não  ,0,0,6,0
634435,Pista Escorregadia,Com Vítimas Feridas,Dupla,Reta,Pleno dia,Chuva,Capotamento,Não  ,0,0,2,2
634447,Pista Escorregadia,Com Vítimas Feridas,Múltipla,Declive,Pleno dia,Chuva,Atropelamento de Pedestre,Não  ,0,2,2,2
634657,Acesso irregular,Sem Vítimas,Dupla,Retorno Regulamentado,Pleno dia,Céu Claro,Colisão lateral sentido oposto,Sim  ,0,0,0,2
634983,Iluminação deficiente,Com Vítimas Feridas,Simples,Rotatória,Plena Noite,Garoa/Chuvisco,Saída de leito carroçável,Não  ,0,0,2,0
635106,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas,Dupla,Curva,Pleno dia,Chuva,Colisão com objeto,Sim  ,0,0,1,1
635312,Pista Escorregadia,Sem Vítimas,Dupla,Reta;Retorno Regulamentado,Pleno dia,Chuva,Colisão traseira,Sim  ,0,0,0,1
635316,Acumulo de óleo sobre o pavimento,Sem Vítimas,Dupla,Reta;Declive,Pleno dia,Chuva,Colisão com objeto,Sim  ,0,0,0,1
635332,Pista Escorregadia,Sem Vítimas,Dupla,Reta,Pleno dia,Garoa/Chuvisco,Saída de leito carroçável,Sim  ,0,0,0,1
635336,Acumulo de água sobre o pavimento,Sem Vítimas,Dupla,Curva,Anoitecer,Chuva,Colisão com objeto,Não  ,0,0,0,2
635531,Sinalização mal posicionada,Com Vítimas Feridas,Dupla,Reta,Pleno dia,Céu Claro,Colisão traseira,Sim  ,0,0,2,1
635627,Acesso irregular,Com Vítimas Feridas,Simples,Reta,Amanhecer,Céu Claro,Saída de leito carroçável,Não  ,0,4,0,0
636566,Iluminação deficiente,Com Vítimas Fatais,Dupla,Reta,Plena Noite,Chuva,Queda de ocupante de veículo,Não  ,3,0,0,0
636751,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Feridas,Dupla,Reta;Aclive,Plena Noite,Chuva,Capotamento,Não  ,0,0,6,0
