id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,latitude,longitude,total_vitimas,n_mortos,n_feridos_graves,n_feridos_leves,n_ilesos,n_ignorados,indice_gravidade,gravidade_cat,tracado_simplificado,pista_tipo,area_tipo,clima_adverso,periodo_dia,municipio_clean
585780,2024-03-08,sexta-feira,05:30:00,GO,414,416  ,ABADIANIA,Sim,Deficiência do Sistema de Iluminação/Sinalização,Incêndio,Sem Vítimas,Amanhecer,Decrescente,Céu Claro,Simples,Aclive;Curva,Não  ,-16.1026529,-48.8633823,1,0,0,0,1,0,0,Sem_Lesoes,Curva,Simples,Rural,Normal,Transicao,ABADIANIA
586696,2024-03-12,terça-feira,05:49:00,DF,20,30   ,BRASILIA,Não,Iluminação deficiente,Queda de ocupante de veículo,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Dupla,Declive;Reta,Não  ,-15.595327,-47.603848,80,0,16,0,64,0,32,Grave,Inclinacao,Simples,Rural,Normal,Transicao,BRASILIA
586759,2024-02-09,sexta-feira,17:40:00,GO,414,"402,4",CORUMBA DE GOIAS,Sim,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Simples,Curva,Não  ,-15.992372,-48.836667,4,0,0,4,0,0,4,Leve,Curva,Simples,Rural,Adverso,Transicao,CORUMBA DE GOIAS
586763,2024-03-12,terça-feira,12:15:00,DF,251,33   ,BRASILIA,Não,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não  ,-15.9386034,-47.746346,18,0,6,12,0,0,24,Grave,Reta,Simples,Rural,Normal,Dia,BRASILIA
586905,2024-03-13,quarta-feira,06:40:00,GO,20,116  ,FLORES DE GOIAS,Sim,Acumulo de água sobre o pavimento,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não  ,-14.880402,-46.853172,5,0,0,1,1,3,1,Leve,Reta,Simples,Rural,Adverso,Dia,FLORES DE GOIAS
586942,2024-03-13,quarta-feira,08:30:00,DF,20,8    ,BRASILIA,Não,Velocidade Incompatível,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta;Declive,Sim  ,-15.658386,-47.791534,24,0,0,12,12,0,12,Leve,Inclinacao,Simples,Urbana,Normal,Dia,BRASILIA
587080,2024-03-13,quarta-feira,18:40:00,GO,40,17   ,LUZIANIA,Não,Chuva,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Chuva,Dupla,Reta;Declive,Sim  ,-16.18487,-47.928641,3,0,0,0,3,0,0,Sem_Lesoes,Inclinacao,Simples,Urbana,Adverso,Noite,LUZIANIA
587416,2024-03-15,sexta-feira,12:10:00,GO,50,99   ,CRISTALINA,Sim,Curva acentuada,Capotamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Em Obras;Interseção de Vias;Desvio Temporário,Sim  ,-16.7752879,-47.624445,3,0,0,0,3,0,0,Sem_Lesoes,Reta,Simples,Urbana,Normal,Dia,CRISTALINA
587490,2024-03-15,sexta-feira,19:38:00,GO,40,16   ,LUZIANIA,Não,Demais falhas na via,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim  ,-16.175176,-47.92964,12,0,12,0,0,0,24,Grave,Reta,Simples,Urbana,Normal,Noite,LUZIANIA
587840,2024-03-17,domingo,11:00:00,GO,20,"146,8",ALVORADA DO NORTE,Sim,Acumulo de água sobre o pavimento,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não  ,-14.734658,-46.652908,8,0,4,2,2,0,10,Grave,Reta,Simples,Rural,Normal,Dia,ALVORADA DO NORTE
587896,2024-03-17,domingo,17:02:00,DF,20,17   ,BRASILIA,Sim,Acumulo de óleo sobre o pavimento,Capotamento,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim  ,-15.621374,-47.71698,1,0,0,0,1,0,0,Sem_Lesoes,Reta,Simples,Urbana,Normal,Dia,BRASILIA
589300,2024-03-23,sábado,19:00:00,DF,20,"5,8  ",BRASILIA,Não,Iluminação deficiente,Engavetamento,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta;Ponte;Declive,Sim  ,-15.665888,-47.808308,60,0,0,24,36,0,24,Leve,Inclinacao,Simples,Urbana,Adverso,Noite,BRASILIA
591739,2024-04-04,quinta-feira,13:24:00,DF,20,"3,9  ",BRASILIA,Não,Chuva,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Declive;Reta,Sim  ,-15.679851,-47.832211,96,0,0,0,80,16,0,Sem_Lesoes,Inclinacao,Simples,Urbana,Adverso,Dia,BRASILIA
